sku,codigo_fornecedor,descricao,ativo,marca,categoria
ET102,None,Laquila Injeção Eletrônica,sim,laquila,injeção eletrônica
ET103,None,Laquila Injeção Eletrônica,sim,laquila,injeção eletrônica
ET104,None,Laquila Injeção Eletrônica,sim,laquila,injeção eletrônica
ET105,None,Laquila Injeção Eletrônica,sim,laquila,injeção eletrônica
ET106,None,Laquila Injeção Eletrônica,sim,laquila,injeção eletrônica
ET107,None,Laquila CDI,sim,laquila,cdi
ET108,None,Laquila CDI,sim,laquila,cdi
ET109,None,Laquila CDI,sim,laquila,cdi
ES124,None,Laquila Espaçadores,sim,laquila,espaçadores
EM136,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
ET134,None,Laquila Escova,sim,laquila,escova
ET136,None,Laquila Escova,sim,laquila,escova
FA101,None,Laquila Bloco Óptico,sim,laquila,bloco Óptico
FA102,None,Laquila Farol,sim,laquila,farol
FA103,None,Laquila Farol,sim,laquila,farol
FA104,None,Laquila Farol,sim,laquila,farol
FA105,None,Laquila Farol,sim,laquila,farol
FA106,None,Laquila Farol,sim,laquila,farol
FA107,None,Laquila Farol,sim,laquila,farol
FA108,None,Laquila Farol,sim,laquila,farol
FA109,None,Laquila Farol,sim,laquila,farol
FA110,None,Laquila Farol,sim,laquila,farol
FA111,None,Laquila Farol,sim,laquila,farol
FA112,None,Laquila Lâmpada Farol,sim,laquila,lâmpada farol
FA113,None,Laquila Lâmpada Farol,sim,laquila,lâmpada farol
FA114,None,Laquila Lâmpada Farol,sim,laquila,lâmpada farol
FA115,None,Laquila Farol,sim,laquila,empty2
FA116,None,Laquila Farol,sim,laquila,farol
FA117,None,Laquila Farol,sim,laquila,farol
FA118,None,Laquila Farol,sim,laquila,farol
FA119,None,Laquila Farol,sim,laquila,farol
ET160,None,Laquila Elétrica,sim,laquila,elétrica
ET159,None,Laquila Elétrica,sim,laquila,elétrica
ET158,None,Laquila Elétrica,sim,laquila,elétrica
ET157,None,Laquila Elétrica,sim,laquila,elétrica
ET137,None,Laquila Escova,sim,laquila,escova
ET138,None,Laquila Estator,sim,laquila,estator
ET139,None,Laquila Estator,sim,laquila,estator
ET140,None,Laquila Estator,sim,laquila,estator
ET141,None,Laquila Estator,sim,laquila,estator
ET142,None,Laquila Estator,sim,laquila,estator
ET143,None,Laquila Estator,sim,laquila,estator
ET144,None,Laquila Estator,sim,laquila,estator
ET145,None,Laquila Estator,sim,laquila,estator
ET135,None,Laquila Escova,sim,laquila,escova
ET146,None,Laquila Estator,sim,laquila,estator
ET148,None,Laquila Estator,sim,laquila,estator
ET149,None,Laquila Estator,sim,laquila,estator
ET150,None,Laquila Estator,sim,laquila,estator
ET151,None,Laquila Fiação,sim,laquila,fiação
ET152,None,Laquila CDI,sim,laquila,cdi
ET153,None,Laquila Elétrica,sim,laquila,elétrica
ET154,None,Laquila Elétrica,sim,laquila,elétrica
ET155,None,Laquila CDI,sim,laquila,cdi
ET156,None,Laquila Elétrica,sim,laquila,elétrica
ET147,None,Laquila Estator,sim,laquila,estator
EM135,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
EM134,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
EM133,None,Laquila Disco de embreagem,sim,laquila,disco de embreagem
CP841,None,Laquila Capacetes,sim,laquila,capacetes
CP842,None,Laquila Capacetes,sim,laquila,capacetes
CP843,None,Laquila Capacetes,sim,laquila,capacetes
CP844,None,Laquila Capacetes,sim,laquila,capacetes
CP845,None,Laquila Capacetes,sim,laquila,capacetes
CP846,None,Laquila Capacetes,sim,laquila,capacetes
CP847,None,Laquila Capacetes,sim,laquila,capacetes
CP848,None,Laquila Capacetes,sim,laquila,capacetes
CP849,None,Laquila Capacetes,sim,laquila,capacetes
CP850,None,Laquila Capacetes,sim,laquila,capacetes
CP851,None,Laquila Capacetes,sim,laquila,capacetes
CP852,None,Laquila Capacetes,sim,laquila,capacetes
CP853,None,Laquila Capacetes,sim,laquila,capacetes
CP854,None,Laquila Capacetes,sim,laquila,capacetes
CP855,None,Laquila Capacetes,sim,laquila,capacetes
CP856,None,Laquila Capacetes,sim,laquila,capacetes
CP857,None,Laquila Capacetes,sim,laquila,capacetes
CP858,None,Laquila Capacetes,sim,laquila,capacetes
CP859,None,Laquila Capacetes,sim,laquila,capacetes
CP840,None,Laquila Capacetes,sim,laquila,capacetes
CP860,None,Laquila Capacetes,sim,laquila,capacetes
CP839,None,Laquila Capacetes,sim,laquila,capacetes
CP837,None,Laquila Capacetes,sim,laquila,capacetes
CP818,None,Laquila Capacetes,sim,laquila,capacetes
CP819,None,Laquila Capacetes,sim,laquila,capacetes
CP820,None,Laquila Capacetes,sim,laquila,capacetes
CP821,None,Laquila Capacetes,sim,laquila,capacetes
CP822,None,Laquila Capacetes,sim,laquila,capacetes
