sku,codigo_fornecedor,descricao,ativo,marca,categoria
CP930,None,Laquila Capacetes,sim,laquila,capacetes
CP932,None,Laquila Capacetes,sim,laquila,capacetes
CP933,None,Laquila Capacetes,sim,laquila,capacetes
CP934,None,Laquila Capacetes,sim,laquila,capacetes
CP935,None,Laquila Capacetes,sim,laquila,capacetes
CP936,None,Laquila Capacetes,sim,laquila,capacetes
CP937,None,Laquila Capacetes,sim,laquila,capacetes
CP938,None,Laquila Capacetes,sim,laquila,capacetes
CP939,None,Laquila Capacetes,sim,laquila,capacetes
CP940,None,Laquila Capacetes,sim,laquila,capacetes
CP931,None,Laquila Capacetes,sim,laquila,capacetes
CP909,None,Laquila Capacetes,sim,laquila,capacetes
CP965,None,Laquila Capacetes,sim,laquila,capacetes
CP967,None,Laquila Capacetes,sim,laquila,capacetes
CP992,None,Laquila Capacetes,sim,laquila,capacetes
CP993,None,Laquila Capacetes,sim,laquila,capacetes
CP994,None,Laquila Capacetes,sim,laquila,capacetes
CP995,None,Laquila Capacetes,sim,laquila,capacetes
CP996,None,Laquila Capacetes,sim,laquila,capacetes
CP997,None,Laquila Capacetes,sim,laquila,capacetes
CP998,None,Laquila Capacetes,sim,laquila,capacetes
CP999,None,Laquila Capacetes,sim,laquila,capacetes
CS101,None,Laquila Case de celular,sim,laquila,case de celular
CS102,None,Laquila Case de celular,sim,laquila,case de celular
CS103,None,Laquila Case de celular,sim,laquila,case de celular
CS104,None,Laquila Case de celular,sim,laquila,case de celular
CT101,None,Laquila Coletes,sim,laquila,coletes
CT102,None,Laquila Coletes,sim,laquila,coletes
CT103,None,Laquila Coletes,sim,laquila,coletes
CT104,None,Laquila Coletes,sim,laquila,coletes
CT105,None,Laquila Coletes,sim,laquila,coletes
CT106,None,Laquila Coletes,sim,laquila,coletes
CT107,None,Laquila Coletes,sim,laquila,coletes
CP991,None,Laquila Capacetes,sim,laquila,capacetes
CP990,None,Laquila Capacetes,sim,laquila,capacetes
