"SKU","ESTOQUE","ItmsGrpCod","GrupoItens","U_G2W_Subgrupo","Descr","FirmCode","FirmName","CodeBars","DEP_PRINCIPAL","NcmCode","U_G2W_FonteProd","FONTE","GRUPO_MATERIAS","CURVA","SuppCatNum"
AUGS202,0.000000,143,Autparts,"276",Sensor MAP,25,Gauss,"7898252658406",,"9026.20.90","3","3",-1,C,GI3130
AUGS556,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252651575",,"8504.40.21","5","5",-1,B,GA1800
AUGS624,0.000000,143,Autparts,"107",Sensor de posição da borboleta (TPS),25,Gauss,"7898252657744",,"8533.40.91","7","7",-1,B,GS7301
AUGS673,1.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7899751919944",,"9029.10.90","2","2",-1,B,GS8307
AUGS395,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7899751905725",,"8504.40.21","5","5",-1,B,GA1396
AUGS625,0.000000,143,Autparts,"107",Sensor de posição da borboleta (TPS),25,Gauss,"7898252657751",,"8533.40.91","7","7",-1,C,GS7302
AUGS674,0.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7898252657942",,"9029.10.90","2","2",-1,C,GS8315
AUGT048,0.000000,143,Autparts,"101",Corpo de Borboleta,25,Gauss,"7899751925617",,"8409.91.90","2","2",-1,C,GI7927
AULA042,0.000000,143,Autparts,"049",Lanterna traseira,14,Arteb,"7896482541291",,"8512.20.22","0","0",1,C,"460344"
AUGR030,1.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898541343112",,"8504.40.21","0","5",-1,C,GA1388
AUGR031,1.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898541343129",,"8504.40.21","0","5",-1,C,GA1389
AULA044,0.000000,143,Autparts,"049",Lanterna traseira,14,Arteb,"7896482541284",,"8512.20.22","0","0",1,C,"460343"
AUAL010,0.000000,143,Autparts,"076",Abafador,3,Luzian,,,"8708.92.00","2","2",2,C,LA012
AUGV019,0.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7898252658932",,"8511.10.00","2","2",2,C,GV6R96
AUPO088,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,"4047025399586",,"8708.30.19","2","2",1,C,"0986BB0211"
MTGE008,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751919814",,"9032.89.11","2","2",-1,C,GM10008
