sku,bar_code,desc,tipo_de_veiculo,marca_id,cat_id
"AUGL103","7898252655221","Gauss Lâmpadas","carro","25","50"
"AUGL104","7898252656105","Gauss Lâmpadas","carro","25","50"
"AUGL105","7899751918855","Gauss Lâmpadas","carro","25","50"
"AUGL106","7899751918688","Gauss Lâmpadas","carro","25","50"
"AUGL107","7899751918718","Gauss Lâmpadas","carro","25","50"
"AUGL108","7899751918350","Gauss Lâmpadas","carro","25","50"
"AUGL109","7898252655702","Gauss Lâmpadas","carro","25","50"
"AUGL110","7899751927635","Gauss Lâmpadas","carro","25","50"
"AUGL111","7899751900430","Gauss Lâmpadas","carro","25","50"
"AUGL112","7899751900454","Gauss Lâmpadas","carro","25","50"
"AUGL113","7899751900454","Gauss Lâmpadas","carro","25","50"
"AUGL114","7898252655498","Gauss Lâmpadas","carro","25","50"
"AUGL115","7898252655504","Gauss Lâmpadas","carro","25","50"
"AUGL116","7898252655610","Gauss Lâmpadas","carro","25","50"
"AUGL117","7898252655627","Gauss Lâmpadas","carro","25","50"
"AUGL118","7899751937177","Gauss Lâmpadas","carro","25","50"
"AUGL119","7899751918411","Gauss Lâmpadas","carro","25","50"
"AUGL120","7899751916882","Gauss Lâmpadas","carro","25","50"
"AUGL121","7899751927727","Gauss Lâmpadas","carro","25","50"
"AUGL122","7898252656211","Gauss Lâmpadas","carro","25","50"
"AUGL123","7899751929912","Gauss Lâmpadas","carro","25","50"
"AUGL124","7899751927628","Gauss Lâmpadas","carro","25","50"
"AUGL125","7899751921909","Gauss Lâmpadas","carro","25","50"
"AUGL126","7898252656891","Gauss Lâmpadas","carro","25","50"
"AUGL127","7899751927666","Gauss Lâmpadas","carro","25","50"
"AUGL128","7898541346809","Gauss Lâmpadas","carro","25","50"
"AUGL129","7899751921916","Gauss Lâmpadas","carro","25","50"
"AUGL130","7898252654958","Gauss Lâmpadas","carro","25","50"
"AUGL131","7898252654958","Gauss Lâmpadas","carro","25","50"
"AUGL132","7898252654941","Gauss Lâmpadas","carro","25","50"
